name,A2A_pdyn_5ht1b_cell_count,total_cell_count,cell_count_A2A,cell_count_pdyn,cell_count_5ht1b,percent_A2A,percent_pdyn,percent_5ht1b,percent_total_A2A_pdyn,percent_total_A2A_5ht1b,percent_total_pdyn_5ht1b,percent_total_pdyn_5ht1b_A2A,percent_intersect_pdyn_A2A,percent_intersect_A2A_5ht1b,percent_intersect_pdyn_5ht1b
ms1_1b_s3_L,12,220,78,71,55,35.4545454545455,32.2727272727273,25,7.72727272727273,12.7272727272727,15.9090909090909,5.45454545454545,11.4093959731544,21.0526315789474,27.7777777777778
ms1_1b_s3_L,12,220,78,71,55,35.4545454545455,32.2727272727273,25,7.72727272727273,12.7272727272727,15.9090909090909,5.45454545454545,11.4093959731544,21.0526315789474,27.7777777777778
ms1_1b_s3_R,15,187,60,84,71,32.0855614973262,44.9197860962567,37.9679144385027,10.6951871657754,18.716577540107,25.668449197861,8.02139037433155,13.8888888888889,26.7175572519084,30.9677419354839
ms1_1b_s4_L,40,209,87,121,74,41.6267942583732,57.8947368421053,35.4066985645933,26.7942583732057,23.444976076555,29.6650717703349,19.1387559808612,26.9230769230769,30.4347826086957,31.7948717948718
ms1_1b_s4_R,28,252,88,104,82,34.9206349206349,41.2698412698413,32.5396825396825,13.8888888888889,20.6349206349206,21.4285714285714,11.1111111111111,18.2291666666667,30.5882352941176,29.0322580645161
ms2_1b_s3_L,6,109,34,31,24,31.1926605504587,28.4403669724771,22.0183486238532,9.1743119266055,11.0091743119266,13.7614678899083,5.5045871559633,15.3846153846154,20.6896551724138,27.2727272727273
ms2_1b_s3_R,4,204,53,62,64,25.9803921568627,30.3921568627451,31.3725490196078,3.92156862745098,10.2941176470588,14.2156862745098,1.96078431372549,6.95652173913043,17.9487179487179,23.015873015873
ms2_1b_s4_L,107,423,172,305,226,40.661938534279,72.1040189125296,53.4278959810875,32.6241134751773,29.0780141843972,46.3356973995272,25.2955082742317,28.9308176100629,30.9045226130653,36.9114877589454
ms2_1b_s4_R,65,391,153,211,191,39.1304347826087,53.9641943734015,48.849104859335,23.2736572890026,25.0639386189258,32.7365728900256,16.6240409207161,25,28.4883720930233,31.8407960199005
ms3_1b_s3_L,25,233,92,104,93,39.4849785407725,44.6351931330472,39.9141630901288,13.7339055793991,22.3175965665236,25.3218884120172,10.7296137339056,16.3265306122449,28.1081081081081,29.9492385786802
ms3_1b_s3_R,121,371,228,235,227,61.455525606469,63.3423180592992,61.1859838274933,38.8140161725067,46.3611859838275,45.2830188679245,32.6145552560647,31.1015118790497,37.8021978021978,36.3636363636364
ms3_1b_s4_L,69,279,136,224,125,48.7455197132617,80.2867383512545,44.8028673835125,36.5591397849462,28.673835125448,40.1433691756272,24.7311827956989,28.3333333333333,30.6513409961686,32.0916905444126
ms3_1b_s4_R,125,367,194,306,210,52.8610354223433,83.3787465940054,57.2207084468665,44.141689373297,38.9645776566758,50.9536784741144,34.0599455040872,32.4,35.3960396039604,36.2403100775194
ms4_1b_s3_L,26,163,44,82,69,26.9938650306748,50.3067484662577,42.3312883435583,18.4049079754601,22.0858895705521,33.1288343558282,15.9509202453988,23.8095238095238,31.858407079646,35.7615894039735
ms4_1b_s3_R,88,332,138,241,213,41.566265060241,72.5903614457831,64.1566265060241,28.9156626506024,34.3373493975904,53.9156626506024,26.5060240963855,25.3298153034301,32.4786324786325,39.4273127753304
ms4_1b_s4_L,26,204,57,104,104,27.9411764705882,50.9803921568627,50.9803921568627,13.2352941176471,21.078431372549,36.7647058823529,12.7450980392157,16.7701863354037,26.7080745341615,36.0576923076923
ms4_1b_s4_R,131,359,194,269,231,54.0389972144847,74.9303621169916,64.3454038997214,42.6183844011142,43.1754874651811,55.7103064066852,36.4902506963788,33.0453563714903,36.4705882352941,40
ms5_1b_s3_L,9,325,73,140,77,22.4615384615385,43.0769230769231,23.6923076923077,7.07692307692308,8.30769230769231,13.8461538461538,2.76923076923077,10.7981220657277,18,20.7373271889401
ms5_1b_s3_R,0,254,22,40,25,8.66141732283465,15.748031496063,9.84251968503937,0.78740157480315,3.54330708661417,0.393700787401575,0,3.2258064516129,19.1489361702128,1.53846153846154
ms5_1b_s4_L,35,448,259,46,295,57.8125,10.2678571428571,65.8482142857143,9.15178571428571,46.2053571428571,8.25892857142857,7.8125,13.4426229508197,37.3646209386282,10.8504398826979
ms5_1b_s4_R,194,481,287,386,313,59.6673596673597,80.2494802494803,65.0727650727651,49.6881496881497,43.6590436590437,58.6278586278586,40.3326403326403,35.5126300148588,35,40.343347639485
noprimary_ctl,0,513,1,0,1,0.194931773879142,0,0.194931773879142,0,0.194931773879142,0,0,0,50,0
