name,A2A_pdyn_5ht1b_cell_count,total_cell_count,cell_count_A2A,cell_count_pdyn,cell_count_5ht1b,percent_A2A,percent_pdyn,percent_5ht1b,percent_total_A2A_pdyn,percent_total_A2A_5ht1b,percent_total_pdyn_5ht1b,percent_total_pdyn_5ht1b_A2A,percent_intersect_pdyn_A2A,percent_intersect_A2A_5ht1b,percent_intersect_pdyn_5ht1b
ms1_1b_s3_L,12,220,78,71,55,35.45454545,32.27272727,25,7.727272727,12.72727273,15.90909091,5.454545455,11.40939597,21.05263158,27.77777778
ms1_1b_s3_L,12,220,78,71,55,35.45454545,32.27272727,25,7.727272727,12.72727273,15.90909091,5.454545455,11.40939597,21.05263158,27.77777778
ms1_1b_s3_R,15,187,60,84,71,32.0855615,44.9197861,37.96791444,10.69518717,18.71657754,25.6684492,8.021390374,13.88888889,26.71755725,30.96774194
ms1_1b_s4_L,40,209,87,121,74,41.62679426,57.89473684,35.40669856,26.79425837,23.44497608,29.66507177,19.13875598,26.92307692,30.43478261,31.79487179
ms1_1b_s4_R,28,252,88,104,82,34.92063492,41.26984127,32.53968254,13.88888889,20.63492063,21.42857143,11.11111111,18.22916667,30.58823529,29.03225806
ms2_1b_s3_L,6,109,34,31,24,31.19266055,28.44036697,22.01834862,9.174311927,11.00917431,13.76146789,5.504587156,15.38461538,20.68965517,27.27272727
ms2_1b_s3_R,4,204,53,62,64,25.98039216,30.39215686,31.37254902,3.921568627,10.29411765,14.21568627,1.960784314,6.956521739,17.94871795,23.01587302
ms2_1b_s4_L,107,423,172,305,226,40.66193853,72.10401891,53.42789598,32.62411348,29.07801418,46.3356974,25.29550827,28.93081761,30.90452261,36.91148776
ms2_1b_s4_R,65,391,153,211,191,39.13043478,53.96419437,48.84910486,23.27365729,25.06393862,32.73657289,16.62404092,25,28.48837209,31.84079602
ms3_1b_s3_L,25,233,92,104,93,39.48497854,44.63519313,39.91416309,13.73390558,22.31759657,25.32188841,10.72961373,16.32653061,28.10810811,29.94923858
ms3_1b_s3_R,121,371,228,235,227,61.45552561,63.34231806,61.18598383,38.81401617,46.36118598,45.28301887,32.61455526,31.10151188,37.8021978,36.36363636
ms3_1b_s4_L,69,279,136,224,125,48.74551971,80.28673835,44.80286738,36.55913978,28.67383513,40.14336918,24.7311828,28.33333333,30.651341,32.09169054
ms3_1b_s4_R,125,367,194,306,210,52.86103542,83.37874659,57.22070845,44.14168937,38.96457766,50.95367847,34.0599455,32.4,35.3960396,36.24031008
ms4_1b_s3_L,26,163,44,82,69,26.99386503,50.30674847,42.33128834,18.40490798,22.08588957,33.12883436,15.95092025,23.80952381,31.85840708,35.7615894
ms4_1b_s3_R,88,332,138,241,213,41.56626506,72.59036145,64.15662651,28.91566265,34.3373494,53.91566265,26.5060241,25.3298153,32.47863248,39.42731278
ms4_1b_s4_L,26,204,57,104,104,27.94117647,50.98039216,50.98039216,13.23529412,21.07843137,36.76470588,12.74509804,16.77018634,26.70807453,36.05769231
ms4_1b_s4_R,131,359,194,269,231,54.03899721,74.93036212,64.3454039,42.6183844,43.17548747,55.71030641,36.4902507,33.04535637,36.47058824,40
ms5_1b_s3_L,9,325,73,140,77,22.46153846,43.07692308,23.69230769,7.076923077,8.307692308,13.84615385,2.769230769,10.79812207,18,20.73732719
ms5_1b_s3_R,0,254,22,40,25,8.661417323,15.7480315,9.842519685,0.787401575,3.543307087,0.393700787,0,3.225806452,19.14893617,1.538461538
ms5_1b_s4_L,35,448,259,46,295,57.8125,10.26785714,65.84821429,9.151785714,46.20535714,8.258928571,7.8125,13.44262295,37.36462094,10.85043988
ms5_1b_s4_R,194,481,287,386,313,59.66735967,80.24948025,65.07276507,49.68814969,43.65904366,58.62785863,40.33264033,35.51263001,35,40.34334764
noprimary_ctl,0,513,1,0,1,0.194931774,0,0.194931774,0,0.194931774,0,0,0,50,0
